"178","Serbia","7,720","7,786","7,691","7,604","7,502","7,345","7,177","5,956","6,313","6,659","6,959","7,248","7,431","7,588"
"179","Seychelles","67","71","75","79","84","88","92","33","36","42","48","54","60","64"
"180","Sierra Leone","3,703","4,228","3,881","3,809","4,708","5,246","5,879","2,087","2,233","2,396","2,582","2,789","3,030","3,335"
"181","Singapore","2,750","3,047","3,567","4,063","4,606","5,140","5,674","1,022","1,306","1,646","1,887","2,075","2,263","2,414"
"182","Sint Maarten (Netherlands)","19","29","32","31","34","38","41","2","2","3","4","6","10","12"
"183","Slovakia","5,145","5,263","5,362","5,400","5,431","5,470","5,496","3,463","3,727","3,994","4,370","4,524","4,730","4,966"
"184","Slovenia","1,914","1,991","2,003","2,011","2,011","2,003","1,983","1,468","1,517","1,558","1,620","1,676","1,722","1,833"
"185","Solomon Islands","273","321","375","434","496","559","622","107","114","126","143","163","193","231"
"186","Somalia","6,459","6,692","6,401","7,501","8,790","9,768","10,616","2,438","2,673","2,956","3,283","3,667","4,128","5,794"
"187","South Africa","34,254","38,476","42,228","45,064","47,483","49,109","48,286","13,596","15,369","17,417","19,898","22,740","25,815","29,252"
"188","South Korea","40,806","42,869","45,105","46,839","48,005","48,636","49,115","20,846","21,552","24,784","28,705","32,241","35,281","38,124"
"189","Spain","38,535","39,351","39,765","40,589","43,704","46,506","48,146","28,063","29,319","30,641","32,085","33,876","35,564","37,488"
"190","Sri Lanka","15,847","16,862","17,941","19,041","20,103","21,084","22,053","7,533","8,694","9,913","11,261","12,619","13,779","15,056"
"191","Sudan","23,145","25,888","29,953","34,109","38,363","43,940","49,780","8,051","9,233","10,589","12,086","13,788","16,156","19,482"
"192","Suriname","394","416","428","464","504","546","580","208","240","284","336","372","363","354"
"193","Swaziland","722","882","1,004","1,144","1,259","1,354","1,436","277","311","352","399","455","521","611"
"194","Sweden","8,356","8,601","8,878","8,924","9,002","9,074","9,153","7,014","7,262","7,480","7,734","8,043","8,193","8,310"
"195","Switzerland","6,564","6,837","7,157","7,267","7,489","7,623","7,698","4,694","4,980","5,362","5,943","6,267","6,404","6,385"
"196","Syria","10,466","12,500","14,449","16,471","18,563","22,198","22,879","3,495","3,938","4,533","5,326","6,258","7,407","8,752"
"197","Taiwan","19,337","20,278","21,290","22,183","22,701","23,025","23,212","7,981","9,486","11,209","12,978","14,598","16,122","17,848"
"198","Tajikistan","4,569","5,272","5,678","6,230","6,815","7,487","8,192","1,530","1,781","2,081","2,511","2,939","3,449","3,966"
"199","Tanzania","21,618","25,214","29,753","33,712","37,771","41,893","46,123","7,935","8,971","10,260","11,870","13,807","16,148","18,665"
"200","Thailand","51,342","55,197","58,883","61,904","64,235","66,336","68,119","20,042","23,451","27,513","32,062","37,091","42,272","47,026"
"201","Timor-Leste","652","746","870","847","1,042","1,155","1,272","436","472","509","553","598","677","557"
"202","Togo","3,129","3,721","4,203","4,992","5,715","6,587","7,552","1,172","1,298","1,456","1,648","1,964","2,267","2,626"
"203","Tonga","94","96","97","100","103","106","107","46","54","64","74","83","89","92"
"204","Trinidad and Tobago","1,189","1,255","1,264","1,252","1,237","1,229","1,222","632","721","841","939","955","1,007","1,091"
"205","Tunisia","7,364","8,207","8,947","9,508","10,013","10,525","11,037","3,517","3,846","4,149","4,566","5,099","5,704","6,443"
"206","Turkey","50,997","56,561","61,940","67,329","72,674","77,804","82,523","21,122","24,145","28,217","31,951","35,758","40,530","45,048"
"207","Turkmenistan","3,240","3,658","4,079","4,385","4,664","4,941","5,231","1,204","1,348","1,585","1,882","2,181","2,524","2,875"
"208","Turks and Caicos Islands (UK)","9","12","15","19","28","43","50","5","5","6","6","6","6","7"
"209","Tuvalu","8","9","10","10","10","10","11","5","5","5","6","6","6","7"
"210","Uganda","14,392","17,456","20,690","23,956","28,199","33,399","39,941","5,522","6,317","7,262","8,389","9,743","10,952","12,415"
"211","Ukraine","50,944","51,622","51,245","49,005","46,959","45,416","44,009","36,775","39,368","42,644","45,235","47,236","48,973","50,047"
"212","United Arab Emirates","1,363","1,826","2,458","3,219","4,087","4,976","5,780","72","83","103","144","249","523","1,000"
"213","United Kingdom","56,584","57,411","58,187","59,140","60,487","62,348","64,088","50,127","50,946","52,372","54,350","55,632","56,215","56,314"
"214","United States","237,924","249,623","266,278","282,172","295,753","308,282","322,371","151,868","165,069","179,979","193,526","203,984","215,465","227,225"
"215","United States Virgin Islands","101","104","108","109","110","110","109","27","28","33","44","63","94","100"
"216","Uruguay","3,019","3,085","3,150","3,220","3,265","3,301","3,342","2,194","2,353","2,531","2,693","2,824","2,844","2,930"
"217","Uzbekistan","18,215","20,530","23,067","25,042","26,540","27,866","29,200","6,293","7,232","8,531","10,206","11,940","13,988","15,994"
"218","Vanuatu","135","154","173","190","206","222","236","52","59","66","74","85","100","117"
"219","Venezuela","16,998","19,325","21,549","23,493","25,269","27,223","29,275","5,009","6,170","7,556","9,068","10,758","12,675","14,768"
"220","Vietnam","60,093","67,258","73,783","79,178","84,425","89,571","94,349","25,348","27,738","31,656","37,258","42,577","48,075","53,715"
"221","Wallis and Futuna (France)","13","13","14","15","15","15","16","7","7","8","8","9","9","11"
"222","West Bank","1,044","1,253","1,621","1,980","2,247","2,515","2,785","771","788","805","861","690","806","904"
"223","Western Sahara","179","217","264","336","415","492","571","9","16","28","50","89","72","124"
"224","Yemen","10,540","12,416","14,862","17,407","20,345","23,495","26,667","4,777","5,265","5,872","6,510","7,098","7,934","9,133"
"225","Zambia","6,716","7,858","9,021","10,345","11,710","13,460","15,644","2,553","2,869","3,254","3,694","4,248","4,897","5,643"
"226","Zimbabwe","8,560","10,156","11,159","11,820","11,639","11,652","14,230","2,853","3,409","4,011","4,685","5,515","6,342","7,170"
